Source.Name,Date_Range,Min_Price,Max_Price,Avg_Price
harga_ayam_2025.csv,09.06.2025 - 15.06.2025,5.5,6.9,6.44
harga_ayam_2025.csv,16.06.2025 - 22.06.2025,4.9,5.7,5.26
harga_ayam_2025.csv,23.06.2025 - 29.06.2025,4.1,6.5,4.98
harga_ayam_2025.csv,30.06.2025 - 06.07.2025,4.6,5.8,5.36
harga_ayam_2025.csv,07.07.2025 - 13.07.2025,4.3,5.9,5.12
harga_ayam_2025.csv,14.07.2025 - 20.07.2025,4.6,6.5,5.25
harga_ayam_2025.csv,21.07.2025 - 27.07.2025,5.1,6.1,5.56
harga_ayam_2025.csv,28.07.2025 - 03.08.2025,4.8,5.8,5.27
harga_ayam_2025.csv,04.08.2025 - 10.08.2025,4.8,5.6,5.27
harga_ayam_2025.csv,11.08.2025 - 17.08.2025,5.2,6,5.45
harga_ayam_2025.csv,18.08.2025 - 24.08.2025,4,6,5.12
harga_ayam_2025.csv,25.08.2025 - 31.08.2025,4.5,5.5,4.81
harga_ayam_2025.csv,01.09.2025 - 07.09.2025,5.2,6.2,5.55
harga_ayam_2025.csv,08.09.2025 - 14.09.2025,5.2,6.2,5.55
harga_ayam_2025.csv,15.09.2025 - 21.09.2025,5.2,6.4,5.9
harga_ayam_2025.csv,22.09.2025 - 28.09.2025,4.8,5.8,5.43
